Teste,Emissões de CO2 (kg)
1,1.6510574308838207e-05
2,1.6088565081825065e-05
3,1.6719297768643808e-05
4,1.6860934694817646e-05
5,1.709962003483554e-05
6,1.7272877161482937e-05
7,1.6155227966900115e-05
8,1.737886452970413e-05
9,1.7540181954645664e-05
10,1.5567451796136478e-05
