Teste,Emissões de CO2 (kg)
1,1.165852564519911e-06
2,2.72383501475534e-06
3,2.2102034040755067e-06
4,1.7922272934286956e-06
5,1.318431052554824e-06
6,2.9066271381326663e-06
7,1.3032040979217557e-06
8,1.93734362885683e-06
9,1.4724728805983008e-06
10,3.0767842760253966e-06
