Teste,Emissões de CO2 (kg)
1,4.060434622028529e-06
2,3.8354327164261374e-06
3,3.6426896927173723e-06
4,3.5667001257248845e-06
5,3.2905754137104734e-06
6,5.236159084061041e-06
7,5.003651748923345e-06
8,4.8976478243643565e-06
9,4.699161335479939e-06
10,4.477456108700292e-06
