Teste,Emissões de CO2 (kg)
1,5.280307376225315e-06
2,5.539114031687138e-06
3,5.109913122847412e-06
4,5.09293249095192e-06
5,4.23797515521129e-06
6,5.005364808571584e-06
7,4.902604642082347e-06
8,4.824536108629561e-06
9,4.777057303465358e-06
10,4.756701042523155e-06
