Teste,Emissões de CO2 (kg)
1,4.884650519051066e-06
2,4.695609095959186e-06
3,3.916238575900128e-06
4,4.437803019472924e-06
5,4.297987367173739e-06
6,4.207091435137473e-06
7,4.0767125194133695e-06
8,3.988882754004657e-06
9,3.861600020339318e-06
10,3.757483138979032e-06
