Teste,Emissões de CO2 (kg)
1,6.040287045799741e-06
2,5.970709829032902e-06
3,5.9944382867070285e-06
4,6.3727674557285275e-06
5,6.16053774767108e-06
6,4.995670103471328e-06
7,6.324630030052851e-06
8,4.538370647722603e-06
9,4.492913768518508e-06
10,4.586245031519756e-06
