Teste,Emissões de CO2 (kg)
1,3.2936706273828575e-07
2,1.4953346851946364e-05
3,3.583838234752324e-07
4,1.3307245124624921e-05
5,1.4509837708022404e-05
6,3.53770217969483e-07
7,1.3266441075616242e-05
8,1.3482010181292831e-05
9,1.3180530345794118e-05
10,3.7277021944007927e-07
