Teste,Emissões de CO2 (kg)
1,1.345140779114215e-05
2,1.5036206281877872e-05
3,1.4740590684176044e-05
4,1.4657705892568177e-05
5,1.3940811685593044e-05
6,1.353731019138751e-05
7,1.3104320080750396e-05
8,1.4928584408822972e-05
9,1.4492846764265957e-05
10,1.397815939307531e-05
