Teste,Emissões de CO2 (kg)
1,4.146065601480098e-06
2,4.083091205479699e-06
3,5.57765860023157e-06
4,5.9875799809923015e-06
5,4.202483366706357e-06
6,5.983923556770763e-06
7,5.717063291799111e-06
8,5.7246478219063845e-06
9,5.629609262999702e-06
10,5.540962918207674e-06
