Teste,Emissões de CO2 (kg)
1,1.7459659750243376e-05
2,1.7702038316826767e-05
3,1.7461838062546512e-05
4,1.6103613378655937e-05
5,1.576395546188423e-05
6,1.596574163580103e-05
7,1.6394456896747456e-05
8,1.63311224711107e-05
9,1.6032338079696472e-05
10,1.6521491250771463e-05
