Teste,Emissões de CO2 (kg)
1,7.4669607800286495e-06
2,7.114033074827259e-06
3,8.840825572262847e-06
4,8.677453870378369e-06
5,8.140240180578686e-06
6,7.954920849869393e-06
7,7.719302357821772e-06
8,7.472641523621881e-06
9,6.987764384918103e-06
10,7.002028202297855e-06
