Teste,Emissões de CO2 (kg)
1,4.625616174250279e-06
2,4.588712902421098e-06
3,4.4600671426073085e-06
4,4.4650011185655025e-06
5,4.5110541494443555e-06
6,4.292950650106362e-06
7,4.440841030134912e-06
8,4.405684813206276e-06
9,4.500371818598479e-06
10,4.3666913246544985e-06
