Teste,Emissões de CO2 (kg)
1,5.434514060180623e-06
2,5.145752717700126e-06
3,5.158243990095602e-06
4,5.239180024275575e-06
5,5.0211381245796356e-06
6,4.297812279453087e-06
7,5.004916446659631e-06
8,4.9573668970631995e-06
9,4.881715828959552e-06
10,4.845945130495204e-06
