Teste,Emissões de CO2 (kg)
1,4.422096344857043e-06
2,3.7674580936845676e-06
3,4.266770288463962e-06
4,4.329263733926781e-06
5,4.119415617560152e-06
6,3.877201375587527e-06
7,3.857787847474721e-06
8,3.760048161372442e-06
9,3.6710523160145505e-06
10,3.648804794267071e-06
