Teste,Emissões de CO2 (kg)
1,3.922006741398831e-06
2,4.04011125009196e-06
3,3.8310933239713664e-06
4,3.647895994643584e-06
5,5.571737083641394e-06
6,5.480818221864875e-06
7,5.3157272083640795e-06
8,5.245972860680284e-06
9,3.5983139974080134e-06
10,4.985070240860795e-06
