Modelo,Emissões de CO2 (kg)
Modelo_1,7.881147137423267e-05
Modelo_2,6.843882055713634e-05
Modelo_3,6.713914414130045e-05
Modelo_4,7.303972769068648e-05
Modelo_5,8.62449694297275e-05
Modelo_6,7.242910957122676e-05
Modelo_7,7.298149847019414e-05
Modelo_8,8.388500361054605e-05
Modelo_9,8.174491398591782e-05
Modelo_10,6.625362403385418e-05
