Teste,Emissões de CO2 (kg)
1,2.245981207650334e-06
2,1.3835646206411647e-06
3,1.1880120509539331e-06
4,2.709057584577925e-06
5,2.2045848619068102e-06
6,1.696457237735773e-06
7,1.2025877034326897e-06
8,2.7675367512573466e-06
9,2.319016025038798e-06
10,2.5146004985981932e-06
