Teste,Emissões de CO2 (kg)
1,6.685766920997094e-06
2,7.339295602829715e-06
3,7.99040307425294e-06
4,6.36448465220767e-06
5,6.867941906875691e-06
6,7.457238935249731e-06
7,7.724582027422188e-06
8,8.109165569076812e-06
9,6.566849659152627e-06
10,6.957430343651322e-06
