Teste,Emissões de CO2 (kg)
1,5.552121790664475e-06
2,7.538934792254268e-06
3,5.5894540215946455e-06
4,6.2492691798859665e-06
5,6.470014483554612e-06
6,6.763038118726415e-06
7,6.927578753397445e-06
8,7.449878154850451e-06
9,5.5490030861175505e-06
10,5.713568010284686e-06
