Teste,Emissões de CO2 (kg)
1,5.232995883361041e-06
2,5.493400990203899e-06
3,5.462138457761629e-06
4,4.59838625786826e-06
5,5.610807091425801e-06
6,5.663162698086655e-06
7,5.684982409229636e-06
8,5.816283693920458e-06
9,5.8876855929354494e-06
10,5.947803371821034e-06
