Teste,Emissões de CO2 (kg)
1,7.1798921457325084e-06
2,6.580638943670844e-06
3,6.712218084542063e-06
4,7.318266072367013e-06
5,7.4499229575789815e-06
6,7.925392748962546e-06
7,6.29940069834952e-06
8,6.922010161252503e-06
9,7.345194425476044e-06
10,7.5915827699221e-06
