Teste,Emissões de CO2 (kg)
1,6.025157019516447e-06
2,6.021013137125902e-06
3,4.489290716801366e-06
4,6.190902174744478e-06
5,6.0806890562385425e-06
6,6.371160512044728e-06
7,6.2010106145192475e-06
8,6.186414713148585e-06
9,4.1916077452054574e-06
10,4.306393430547273e-06
