Teste,Emissões de CO2 (kg)
1,1.2915297165768282e-06
2,1.1543792879997685e-06
3,1.975473370300159e-06
4,1.0477953188095129e-06
5,2.0446005815419408e-06
6,9.74265414106994e-07
7,2.0691807321038103e-06
8,1.1124130591721588e-06
9,2.0840960255529155e-06
10,1.0261104844422413e-06
