Teste,Emissões de CO2 (kg)
1,6.365276233126095e-06
2,1.0752819216242473e-07
3,4.9306082653015705e-06
4,5.0321437087482505e-06
5,4.9426210199016065e-06
6,5.043702855383613e-06
7,4.6423663729573296e-06
8,5.069358821972359e-06
9,5.091484793667653e-06
10,5.1445630477019135e-06
