Teste,Emissões de CO2 (kg)
1,2.6087834867153163e-06
2,2.0632205156292146e-06
3,1.622809230708296e-06
4,1.108155260189071e-06
5,2.578981984918689e-06
6,2.0692931611972082e-06
7,1.576561416589905e-06
8,1.0979754740461708e-06
9,2.572505274099412e-06
10,2.183793754955984e-06
