Teste,Emissões de CO2 (kg)
1,5.476820986374098e-06
2,5.206056759321403e-06
3,4.1431814753381426e-06
4,5.623591631369179e-06
5,4.831373905106933e-06
6,4.072949574865261e-06
7,5.5945249070669065e-06
8,4.912295919896969e-06
9,4.136272272927326e-06
10,5.641754067966482e-06
