Teste,Emissões de CO2 (kg)
1,1.3985220305387293e-05
2,1.3551050831594694e-05
3,1.4518877444600623e-05
4,1.3872971701505645e-05
5,1.4397709484884794e-05
6,1.3886271302616895e-05
7,1.3470854588433747e-05
8,1.3120848542460324e-05
9,1.5018817419838092e-05
10,1.3215335265659117e-05
