Teste,Emissões de CO2 (kg)
1,4.064938883851201e-06
2,5.984375776973045e-06
3,1.0807454007531385e-07
4,4.3754611605958415e-06
5,4.3341923174693044e-06
6,4.252027021793383e-06
7,4.230878036585297e-06
8,4.206446349000373e-06
9,4.156796617016267e-06
10,4.111648662048385e-06
